Country,Year,Food Category,Total Waste (Tons),Economic Loss (Million $),Avg Waste per Capita (Kg),Population (Million),Household Waste (%)
South Africa,2019,Prepared Food,17956.52,20776.17,53.38,1020.89,40.45
Indonesia,2019,Frozen Food,23496.66,22381.03,79.81,637.86,50.8
Japan,2021,Grains & Cereals,7225.77,7393.73,105.58,1247.06,32.27
Brazil,2024,Beverages,46556.75,42942.59,135.63,263.77,51.01
South Africa,2019,Dairy Products,8022.86,6768.62,80.96,1122.45,50.78
UK,2019,Bakery Items,25562.97,30519.9,70.76,973.45,46.51
Turkey,2024,Grains & Cereals,10668.1,9622.69,102.58,737.64,58.15
France,2020,Fruits & Vegetables,10062.85,9142.6,127.62,256.67,46.14
India,2021,Frozen Food,22533.71,20760.01,44.11,926.51,64.26
South Korea,2024,Prepared Food,12463.29,14521.65,110.45,1200.44,64.35
India,2018,Bakery Items,37938.86,34421.72,141.39,1149.53,45.24
Germany,2018,Fruits & Vegetables,9120.46,9814.79,145.25,1389.14,55.12
France,2019,Meat & Seafood,26583.09,23562.82,125.57,571.09,31.78
Saudi Arabia,2018,Frozen Food,10344.1,9857.6,105.41,1305.05,55.46
Argentina,2021,Prepared Food,23349.11,18721.66,91.48,1051.18,42.07
UK,2023,Frozen Food,17989.88,17023.51,180.2,15.55,47.83
South Africa,2019,Frozen Food,8371.48,8826.82,92.24,543.11,69.38
France,2020,Meat & Seafood,39332.55,43838.89,160.59,676.21,57.25
Mexico,2018,Prepared Food,30566.99,29522.29,132.9,773.92,43.74
Japan,2021,Dairy Products,36669.2,31771.48,142.11,354.57,56.63
Russia,2023,Fruits & Vegetables,6482.29,6869.84,30.16,291.71,54.49
Saudi Arabia,2020,Dairy Products,24310.75,27198.96,30.83,683.94,34.12
Saudi Arabia,2021,Meat & Seafood,29796.69,28702.4,183.59,372.63,36.59
UK,2019,Dairy Products,25419.74,21521.64,71.21,1257.14,52.72
Turkey,2021,Meat & Seafood,47227.73,40158.85,28.15,909.21,47.31
South Korea,2021,Beverages,3774.42,4430.59,159.63,504.93,54.43
Japan,2020,Frozen Food,2078.64,1750.63,50.75,1254.37,37.13
South Korea,2024,Frozen Food,13338.14,12307.87,112.42,450.02,43.32
Brazil,2019,Fruits & Vegetables,23935.92,24758.66,198.73,1224.73,61.4
Germany,2023,Fruits & Vegetables,47934.04,50098.02,34.45,164.08,56.89
Indonesia,2019,Beverages,6059.1,5024.86,30.99,209.67,38.31
India,2018,Beverages,20942.04,18650.07,124.24,128.07,48.63
Australia,2018,Fruits & Vegetables,6384.32,6500.24,131.96,1347.41,45.12
Argentina,2019,Dairy Products,11932.47,12003.72,179.56,233.0,58.95
Saudi Arabia,2023,Fruits & Vegetables,7865.27,7212.47,41.79,1300.76,61.53
Italy,2020,Grains & Cereals,42307.43,34262.07,191.86,1324.27,55.12
Brazil,2020,Dairy Products,25611.51,27250.82,194.94,975.85,32.75
Germany,2020,Fruits & Vegetables,45649.02,48828.17,57.92,626.28,64.58
Argentina,2023,Frozen Food,24214.07,23528.51,90.26,1083.41,60.78
South Africa,2019,Fruits & Vegetables,43281.52,50252.44,185.32,81.76,52.45
Russia,2018,Frozen Food,46669.86,51765.4,20.85,724.49,32.07
Italy,2022,Prepared Food,44346.35,45835.32,68.84,246.61,31.12
France,2024,Beverages,22568.53,19426.19,34.78,337.57,46.97
Italy,2019,Frozen Food,13942.38,11285.35,182.91,792.65,52.79
Argentina,2021,Meat & Seafood,49387.02,46708.71,,774.46,43.94
USA,2022,Grains & Cereals,19540.97,17882.5,183.25,214.17,33.81
Argentina,2019,Grains & Cereals,4964.13,5528.95,179.26,1137.75,52.09
Russia,2022,Prepared Food,26371.71,29653.89,101.13,549.29,69.63
Mexico,2022,Bakery Items,39084.33,38765.74,137.49,443.4,52.83
Canada,2023,Bakery Items,48403.15,54948.5,175.17,160.14,36.3
Saudi Arabia,2019,Beverages,15867.24,16358.67,160.22,604.55,31.21
Mexico,2024,Meat & Seafood,30474.95,34692.4,21.06,1315.27,61.48
France,2022,Grains & Cereals,39051.33,37515.63,112.51,1128.01,42.57
Australia,2024,Bakery Items,45135.33,41771.59,173.04,1306.91,38.21
Brazil,2021,Dairy Products,2503.54,2471.67,166.63,884.15,60.81
USA,2018,Grains & Cereals,42505.33,35453.57,48.91,228.91,30.58
Germany,2021,Meat & Seafood,28667.96,27435.03,47.25,1226.5,34.93
USA,2020,Dairy Products,20517.26,22108.48,71.66,855.36,50.97
Brazil,2020,Meat & Seafood,2173.71,2153.3,189.77,1191.13,62.5
Saudi Arabia,2018,Grains & Cereals,3314.83,3956.84,71.6,774.14,62.51
Spain,2024,Bakery Items,31031.85,28026.74,84.55,998.56,44.95
Russia,2021,Prepared Food,1633.99,1856.49,60.41,611.82,45.45
Japan,2019,Bakery Items,26313.17,21587.83,102.04,154.1,30.66
Australia,2023,Meat & Seafood,27759.88,31262.21,36.5,86.32,64.27
Canada,2020,Meat & Seafood,46552.07,47859.25,,1217.9,41.51
India,2018,Bakery Items,41159.8,38825.97,81.6,,31.24
South Africa,2018,Meat & Seafood,32406.6,32328.11,91.75,177.99,37.66
Argentina,2022,Fruits & Vegetables,16702.75,19585.76,58.49,387.21,40.65
South Korea,2021,Fruits & Vegetables,10012.17,10943.56,96.01,12.12,37.95
Saudi Arabia,2018,Frozen Food,2751.15,2310.76,52.39,622.92,51.0
Argentina,2020,Fruits & Vegetables,36545.13,30329.31,165.38,623.0,60.37
Italy,2021,Bakery Items,7244.15,5905.22,119.33,683.01,55.79
Saudi Arabia,2018,Dairy Products,16279.53,19028.32,157.65,1294.76,62.68
UK,2020,Bakery Items,31713.3,27576.98,187.98,132.67,46.88
Canada,2023,Fruits & Vegetables,3328.11,3896.18,103.8,1341.94,57.66
South Africa,2022,Bakery Items,9084.81,9106.69,114.47,640.84,57.48
USA,2021,Bakery Items,18752.86,18157.59,34.37,687.19,34.82
Indonesia,2022,Grains & Cereals,12214.35,12612.64,69.67,393.64,35.74
UK,2023,Prepared Food,40338.02,32405.22,42.45,153.05,69.49
UK,2020,Frozen Food,19198.98,19713.53,78.71,1313.9,39.63
South Africa,2024,Meat & Seafood,20928.26,24655.67,184.88,713.52,51.73
Mexico,2021,Beverages,21845.55,25175.78,,550.23,62.79
France,2024,Fruits & Vegetables,39609.6,33231.19,64.46,855.57,46.09
Saudi Arabia,2022,Meat & Seafood,5153.47,5204.55,111.25,1055.8,36.23
Saudi Arabia,2020,Bakery Items,28809.15,23817.33,114.87,189.05,59.88
UK,2022,Dairy Products,33815.51,36419.48,51.61,,52.2
Russia,2023,Grains & Cereals,9845.39,9764.39,59.4,876.16,45.66
Spain,2020,Bakery Items,9646.2,9480.76,116.66,138.98,63.29
UK,2024,Meat & Seafood,4897.73,3924.03,164.04,1066.56,38.14
India,2021,Beverages,20187.86,20160.75,65.91,436.72,65.03
South Korea,2024,Beverages,6142.25,6736.91,191.9,598.62,37.55
France,2022,Fruits & Vegetables,1050.83,927.65,30.01,107.0,49.22
Saudi Arabia,2024,Frozen Food,41603.87,33990.35,192.64,744.29,32.44
China,2023,Frozen Food,5307.21,4368.62,82.8,967.12,54.49
Brazil,2018,Bakery Items,17678.1,19199.9,132.39,210.48,33.74
Spain,2024,Meat & Seafood,24233.58,23642.65,152.56,439.75,32.11
Turkey,2020,Bakery Items,42834.82,34838.16,92.86,234.89,43.7
Indonesia,2024,Meat & Seafood,33443.55,26894.7,118.46,170.33,68.37
India,2020,Dairy Products,46663.86,,151.36,1020.74,35.07
South Africa,2021,Dairy Products,1979.87,1973.37,26.58,128.16,63.76
South Korea,2022,Grains & Cereals,22942.38,19277.51,113.71,522.25,53.82
Spain,2022,Prepared Food,27503.07,32988.39,192.1,936.51,57.31
Brazil,2022,Fruits & Vegetables,37440.24,33827.9,94.17,,45.73
Argentina,2019,Beverages,20628.73,19286.35,141.78,1242.17,56.52
Italy,2021,Grains & Cereals,24957.79,23552.71,44.93,734.5,33.77
Indonesia,2020,Bakery Items,48266.28,46014.47,82.99,185.74,65.77
Mexico,2022,Meat & Seafood,15743.78,13878.75,119.34,1276.98,35.79
Russia,2019,Dairy Products,3732.53,4168.82,113.6,1019.37,56.76
Brazil,2024,Grains & Cereals,3817.6,3619.06,64.58,47.81,54.35
USA,2024,Prepared Food,28293.2,27917.29,136.94,1276.82,57.11
UK,2022,Meat & Seafood,10858.33,11545.39,167.61,1338.74,60.65
Brazil,2024,Frozen Food,29138.47,29241.06,119.04,562.3,45.59
France,2021,Prepared Food,35983.91,32823.22,,983.65,47.84
India,2019,Frozen Food,44310.38,46300.1,119.33,216.07,67.78
UK,2022,Frozen Food,41708.45,43196.51,141.07,143.92,65.48
Indonesia,2019,Fruits & Vegetables,20319.53,16766.94,44.42,240.36,53.99
Australia,2021,Dairy Products,34325.04,33080.21,80.55,826.63,48.29
Russia,2023,Bakery Items,44961.18,40280.46,56.72,593.33,67.19
Argentina,2018,Prepared Food,35797.75,29894.59,77.26,639.45,66.61
Canada,2024,Dairy Products,47299.18,47088.76,69.3,1087.99,50.75
Argentina,2019,Bakery Items,23175.08,23172.64,33.68,441.44,53.12
Italy,2018,Dairy Products,38491.57,,,173.91,47.69
Australia,2019,Grains & Cereals,900.67,917.74,,216.36,56.06
China,2020,Frozen Food,23749.46,23322.88,109.22,505.54,39.92
Russia,2022,Dairy Products,28166.03,,135.33,73.53,45.78
Turkey,2021,Bakery Items,41832.89,34209.76,185.19,694.63,50.09
China,2018,Prepared Food,11314.08,10287.7,111.67,953.52,33.75
Saudi Arabia,2024,Fruits & Vegetables,46722.63,51041.87,32.36,1361.24,51.98
Saudi Arabia,2018,Meat & Seafood,27104.73,31850.55,75.19,477.32,65.96
China,2023,Frozen Food,2117.79,2145.55,127.54,1034.96,45.75
Spain,2019,Fruits & Vegetables,16133.76,15262.81,129.2,515.2,49.9
India,2019,Fruits & Vegetables,49306.78,57631.72,198.34,167.76,65.57
Canada,2020,Fruits & Vegetables,25902.43,29646.51,189.28,489.32,43.8
Germany,2023,Fruits & Vegetables,24960.18,29567.69,63.59,113.95,42.9
Germany,2024,Prepared Food,7322.68,7798.37,89.85,240.95,54.05
Japan,2020,Meat & Seafood,22704.79,22767.89,109.48,1296.89,67.43
Canada,2018,Meat & Seafood,12735.64,14984.8,119.17,970.84,54.49
China,2021,Grains & Cereals,33847.53,27732.49,128.7,752.68,54.4
Germany,2024,Fruits & Vegetables,29925.45,31118.14,95.47,1136.32,68.75
Russia,2023,Dairy Products,16739.67,18537.92,121.72,1032.79,54.41
Canada,2021,Prepared Food,38319.92,37880.05,96.29,1017.31,31.16
Australia,2021,Fruits & Vegetables,24267.79,21302.14,43.56,119.98,34.11
Argentina,2019,Grains & Cereals,13212.92,14761.67,84.85,1127.62,36.09
USA,2021,Bakery Items,22114.86,18136.48,82.21,280.94,57.9
Brazil,2022,Bakery Items,14575.48,17266.43,67.43,805.91,30.74
Turkey,2019,Bakery Items,3050.44,3309.9,27.19,749.25,53.23
Turkey,2024,Frozen Food,1034.78,918.78,144.59,1097.06,40.69
India,2020,Dairy Products,4364.47,4652.61,169.33,267.81,51.78
China,2018,Fruits & Vegetables,44135.77,44014.24,170.31,190.75,62.35
Argentina,2022,Bakery Items,40591.28,45816.8,28.55,866.04,43.32
Saudi Arabia,2020,Prepared Food,37669.36,39917.08,184.25,730.86,38.52
Russia,2022,Beverages,40109.93,42459.75,195.77,928.28,63.71
USA,2022,Meat & Seafood,4581.11,4174.81,155.34,211.45,62.13
South Africa,2019,Grains & Cereals,12943.62,14989.25,41.38,646.84,33.95
Spain,2020,Prepared Food,31158.61,27947.03,54.36,1311.48,48.24
South Africa,2024,Bakery Items,34795.8,36643.27,90.7,922.21,67.29
France,2021,Meat & Seafood,43750.97,44631.77,88.69,1050.59,66.59
Brazil,2023,Meat & Seafood,37229.3,40593.28,99.41,720.92,58.29
UK,2024,Prepared Food,38206.78,32981.14,65.26,981.18,61.86
Canada,2021,Prepared Food,43186.82,38566.31,37.63,1012.7,43.84
Brazil,2021,Grains & Cereals,10519.7,11552.04,86.94,1290.41,40.94
China,2024,Fruits & Vegetables,14112.86,16584.4,72.25,1333.34,34.54
South Korea,2023,Fruits & Vegetables,32016.16,30111.2,73.96,65.96,62.98
Brazil,2021,Prepared Food,18670.95,21899.65,117.64,23.25,61.22
Canada,2022,Bakery Items,17391.9,16126.72,114.09,221.61,48.85
Australia,2023,Fruits & Vegetables,13010.89,13474.49,187.25,466.68,53.45
India,2020,Bakery Items,28546.73,32013.46,152.26,1236.2,66.46
Argentina,2021,Dairy Products,20087.93,23773.4,59.64,957.49,34.0
Russia,2022,Grains & Cereals,6234.85,7062.98,21.23,508.75,64.79
China,2018,Meat & Seafood,34407.7,32250.86,130.36,1092.23,44.54
South Korea,2020,Frozen Food,35825.85,37679.36,188.57,918.13,33.21
Saudi Arabia,2022,Beverages,14009.07,12256.59,145.34,1284.28,50.62
China,2020,Frozen Food,41022.69,37983.5,124.4,595.8,45.31
Germany,2024,Meat & Seafood,14143.32,13506.93,171.49,86.22,59.68
South Africa,2024,Prepared Food,13227.42,14726.89,179.67,16.93,41.71
South Africa,2020,Fruits & Vegetables,33461.35,35714.09,83.09,386.41,40.57
France,2019,Fruits & Vegetables,34062.3,28634.02,24.72,502.45,30.92
South Korea,2019,Prepared Food,33616.77,37461.32,96.66,793.41,67.61
India,2020,Prepared Food,19900.99,17348.64,22.72,740.68,54.5
India,2018,Bakery Items,27317.9,27416.93,97.26,168.05,69.5
Argentina,2021,Prepared Food,38866.8,41263.43,24.9,644.33,52.54
France,2019,Beverages,23278.08,18634.85,29.46,279.01,56.28
UK,2020,Dairy Products,20329.78,17755.81,62.5,51.24,67.45
India,2018,Prepared Food,29156.88,33590.67,90.47,1067.52,52.58
Saudi Arabia,2024,Beverages,38673.18,34473.09,190.61,803.85,44.24
Turkey,2019,Meat & Seafood,46093.27,40675.22,119.95,1162.54,48.83
Argentina,2018,Beverages,38787.71,40830.2,109.43,257.67,30.05
Mexico,2018,Beverages,19182.27,22488.25,164.99,618.47,68.56
Saudi Arabia,2023,Fruits & Vegetables,41572.87,49079.89,146.02,190.57,64.13
Saudi Arabia,2023,Prepared Food,3605.46,4044.41,45.06,485.01,45.71
India,2018,Meat & Seafood,1573.89,1575.94,33.53,11.46,69.89
Spain,2020,Dairy Products,25155.81,23889.69,78.04,113.77,56.56
UK,2020,Fruits & Vegetables,17092.31,14508.6,109.47,834.86,57.62
Saudi Arabia,2018,Bakery Items,28209.01,31943.64,122.47,153.4,46.15
France,2023,Bakery Items,15275.97,13016.74,39.68,640.22,60.68
Spain,2019,Dairy Products,6677.64,7070.94,69.98,932.08,35.69
Australia,2022,Meat & Seafood,11494.16,9480.19,135.55,13.02,63.72
Japan,2024,Beverages,35367.51,35898.89,47.67,686.95,35.4
Indonesia,2018,Dairy Products,12446.82,13000.65,96.34,1061.41,68.43
Australia,2024,Grains & Cereals,30731.56,35981.04,185.96,986.66,41.94
Spain,2023,Fruits & Vegetables,9824.63,10166.38,170.95,95.48,65.78
Spain,2024,Frozen Food,38121.7,40311.64,198.79,604.01,68.25
Saudi Arabia,2022,Grains & Cereals,47226.15,41252.03,192.94,1385.29,38.21
China,2024,Frozen Food,44571.72,38799.41,64.52,265.2,36.46
China,2024,Dairy Products,9885.28,10090.0,193.59,155.89,34.05
China,2021,Dairy Products,16464.38,18670.32,37.64,1184.69,48.42
Russia,2023,Beverages,1697.55,1700.03,159.52,66.77,62.6
UK,2024,Frozen Food,30576.71,28635.98,130.77,,69.26
Russia,2019,Beverages,43986.15,45143.65,98.37,806.13,42.78
USA,2024,Bakery Items,28585.83,31170.26,82.82,560.49,38.67
UK,2019,Frozen Food,5222.79,5146.97,39.16,1388.73,60.69
France,2018,Grains & Cereals,16866.86,18795.51,57.42,1157.26,67.84
South Africa,2024,Fruits & Vegetables,28859.11,24785.6,101.06,1001.72,47.8
Russia,2019,Fruits & Vegetables,27030.65,27392.4,169.05,,51.55
Mexico,2022,Prepared Food,15312.77,13090.17,28.72,992.86,49.73
Mexico,2023,Bakery Items,3960.36,4234.44,167.1,1089.64,64.66
China,2018,Grains & Cereals,30411.47,25760.76,94.73,548.01,64.44
Italy,2023,Dairy Products,37860.05,41876.1,27.72,631.05,65.08
Turkey,2023,Grains & Cereals,34994.12,40971.97,35.19,984.94,30.45
UK,2023,Grains & Cereals,17496.98,20725.2,85.12,1235.29,35.16
Germany,2021,Frozen Food,22461.34,21525.28,124.92,302.63,66.32
Mexico,2024,Grains & Cereals,2223.06,2636.22,22.35,128.99,68.1
Germany,2018,Beverages,11103.8,10173.77,70.21,490.84,69.14
UK,2019,Dairy Products,48064.86,43609.06,74.99,426.47,50.64
Argentina,2022,Dairy Products,38141.73,37376.6,80.64,1046.48,60.19
Canada,2023,Beverages,5164.03,5766.99,189.15,1245.91,51.75
Italy,2022,Bakery Items,2961.25,2885.45,118.25,1338.62,61.53
USA,2018,Grains & Cereals,14616.52,17039.16,165.79,283.04,51.55
Mexico,2023,Bakery Items,47661.94,40313.2,147.01,173.82,57.07
Indonesia,2018,Dairy Products,26115.0,30823.67,144.24,1182.14,61.77
Canada,2020,Bakery Items,30612.78,29423.02,69.19,841.71,52.57
Germany,2019,Grains & Cereals,47257.35,43506.34,128.72,732.43,31.72
UK,2024,Grains & Cereals,30251.98,30485.18,155.22,673.12,33.25
USA,2022,Dairy Products,42054.56,40586.17,164.65,677.49,53.46
Indonesia,2019,Grains & Cereals,16879.87,,,96.67,39.28
Germany,2022,Grains & Cereals,32734.18,37934.01,30.94,349.5,43.62
Indonesia,2021,Frozen Food,1692.54,1448.29,185.96,709.14,69.1
Argentina,2023,Dairy Products,48008.92,41651.09,115.44,1140.21,45.33
Germany,2024,Fruits & Vegetables,16313.98,13151.48,117.37,857.42,65.39
France,2020,Prepared Food,46265.68,38294.97,148.31,1120.66,67.51
Indonesia,2018,Dairy Products,24220.54,20618.9,93.73,251.86,46.95
Brazil,2018,Beverages,49122.58,51296.9,99.49,539.04,63.8
USA,2022,Bakery Items,48136.96,43590.5,199.41,766.17,69.19
Saudi Arabia,2022,Frozen Food,33558.64,36201.96,44.06,1099.07,65.53
Argentina,2018,Meat & Seafood,27169.14,22294.88,83.93,,67.9
UK,2020,Grains & Cereals,12158.17,12654.12,88.35,854.64,69.76
Spain,2018,Beverages,30435.06,28495.47,131.24,876.44,39.94
France,2021,Frozen Food,32642.85,31509.7,47.56,551.83,52.91
Argentina,2024,Grains & Cereals,9529.03,7712.48,29.71,205.53,52.34
India,2022,Meat & Seafood,25569.5,25134.78,169.4,548.21,41.9
Mexico,2024,Beverages,43696.76,38169.41,104.85,1153.5,42.0
Germany,2019,Bakery Items,15441.12,15740.11,121.86,1025.58,62.9
Mexico,2023,Prepared Food,42915.38,37429.73,26.55,1202.98,46.84
Japan,2023,Bakery Items,31658.12,25907.78,182.21,466.22,69.25
USA,2019,Dairy Products,20294.32,21533.41,147.69,138.2,40.28
South Africa,2021,Beverages,46108.05,47253.01,104.11,1058.72,60.25
Argentina,2019,Prepared Food,48827.14,47821.6,195.5,397.41,64.7
UK,2021,Grains & Cereals,33889.65,30737.74,31.08,1377.9,64.28
Argentina,2021,Beverages,38840.33,40716.92,57.45,1204.57,49.42
Australia,2023,Fruits & Vegetables,34771.88,39746.31,108.15,531.36,53.2
Spain,2024,Prepared Food,26770.8,31303.22,142.51,1320.6,62.78
Brazil,2020,Meat & Seafood,11425.17,9578.34,174.44,1116.21,37.62
Brazil,2023,Prepared Food,10507.84,12067.43,24.39,348.6,41.0
South Korea,2019,Frozen Food,48375.92,54885.58,111.57,87.25,41.21
Germany,2019,Fruits & Vegetables,24914.11,29706.21,32.57,,43.3
Saudi Arabia,2019,Bakery Items,917.28,992.66,135.5,665.9,67.66
Brazil,2022,Fruits & Vegetables,41810.55,49687.65,47.97,711.0,62.29
USA,2020,Prepared Food,10222.14,10349.68,179.42,409.89,41.64
Argentina,2023,Meat & Seafood,41910.99,47436.94,89.8,324.8,67.44
South Korea,2022,Beverages,23262.53,25824.94,75.9,1263.71,30.63
Indonesia,2019,Meat & Seafood,6272.68,5946.07,165.54,148.68,40.57
China,2018,Bakery Items,24699.17,29320.94,35.38,531.44,51.94
France,2022,Prepared Food,5117.99,4340.83,148.17,860.14,49.71
Canada,2020,Grains & Cereals,33797.33,36879.7,128.13,1351.74,51.63
Australia,2023,Dairy Products,22957.97,22260.35,151.78,1177.05,59.7
Australia,2022,Dairy Products,33923.62,28921.39,195.02,909.28,68.7
India,2024,Frozen Food,40414.19,42394.85,188.16,327.1,41.82
Australia,2020,Prepared Food,47574.43,39243.81,113.13,631.25,60.81
Spain,2022,Dairy Products,17552.92,18078.2,,918.87,40.64
Mexico,2024,Frozen Food,27555.01,32211.96,198.85,879.18,58.24
Mexico,2021,Beverages,21466.8,20122.08,128.44,1146.07,65.01
Russia,2019,Grains & Cereals,7185.99,7264.93,76.95,263.38,53.93
Russia,2022,Prepared Food,31479.34,31546.7,150.02,1004.63,68.21
France,2023,Meat & Seafood,45741.0,53825.92,118.48,486.24,54.47
China,2024,Grains & Cereals,8868.1,9640.64,107.74,668.52,54.3
France,2021,Prepared Food,40051.76,36062.02,165.9,934.3,46.81
China,2018,Meat & Seafood,3235.89,3766.53,171.14,509.96,40.87
South Korea,2018,Bakery Items,4198.48,4740.46,183.39,802.23,56.39
Spain,2018,Dairy Products,36730.78,31317.17,102.27,1099.95,60.06
Russia,2024,Bakery Items,3942.39,3890.65,149.88,,31.28
Turkey,2024,Fruits & Vegetables,5214.72,5805.35,52.33,1376.05,62.29
Indonesia,2019,Meat & Seafood,21638.4,19007.22,50.32,1308.74,62.39
India,2019,Dairy Products,22082.54,26283.89,146.74,1093.49,46.21
India,2018,Beverages,47812.52,56261.23,86.12,719.57,45.54
USA,2019,Prepared Food,31980.71,35434.66,132.11,,35.31
Australia,2021,Meat & Seafood,42501.97,42933.07,103.2,886.57,67.2
Japan,2019,Fruits & Vegetables,5845.91,4830.88,82.31,1188.9,68.31
Russia,2018,Grains & Cereals,7791.46,8600.1,39.49,206.86,59.93
South Africa,2019,Meat & Seafood,42336.15,42536.36,68.21,1382.38,53.75
India,2018,Dairy Products,22968.7,26508.6,74.55,956.4,32.11
India,2024,Grains & Cereals,19242.47,16275.03,73.29,539.1,66.09
Brazil,2022,Prepared Food,36132.58,36878.62,116.97,999.12,37.92
Turkey,2020,Frozen Food,3120.26,2798.83,141.9,682.44,31.97
Indonesia,2022,Bakery Items,39060.62,34962.3,199.92,885.96,44.17
Russia,2018,Bakery Items,11192.81,10911.49,116.3,1001.0,67.97
Saudi Arabia,2023,Grains & Cereals,44376.96,38365.99,126.78,1395.67,33.04
Mexico,2018,Frozen Food,20127.91,23658.57,23.63,1318.56,33.81
Japan,2021,Fruits & Vegetables,11616.43,13501.93,162.67,1013.24,50.58
Mexico,2024,Dairy Products,40124.91,33316.74,111.39,917.67,56.47
Mexico,2020,Bakery Items,28093.54,27792.33,109.11,1386.45,53.14
USA,2018,Prepared Food,46778.67,46048.82,183.41,230.94,36.95
Mexico,2021,Beverages,33599.83,39763.83,169.44,815.8,43.54
Germany,2022,Beverages,14791.28,16497.72,159.67,667.57,58.89
Russia,2021,Dairy Products,41548.85,34033.34,106.19,564.04,41.91
UK,2020,Fruits & Vegetables,32583.11,32441.26,24.79,222.22,39.18
Germany,2020,Dairy Products,9226.39,8137.32,38.68,1360.41,35.29
India,2020,Meat & Seafood,18825.35,20577.13,139.74,250.95,54.19
Canada,2024,Frozen Food,146065.84999999998,32840.66,196.08,720.28,61.88
Indonesia,2020,Fruits & Vegetables,31399.46,29429.68,184.81,1186.48,36.39
South Korea,2024,Fruits & Vegetables,5443.2,6472.66,91.07,781.44,61.41
Italy,2024,Fruits & Vegetables,39012.38,39009.82,97.73,150.37,43.72
Indonesia,2022,Meat & Seafood,45275.35,37831.82,103.89,1079.34,56.99
Turkey,2018,Bakery Items,38623.78,38544.07,166.34,652.0,33.3
Australia,2018,Prepared Food,35063.05,29702.46,59.62,821.63,67.42
Indonesia,2024,Frozen Food,26812.66,28028.3,57.0,891.66,48.81
South Africa,2024,Meat & Seafood,27306.53,29348.47,170.03,1050.27,69.87
UK,2019,Grains & Cereals,15409.64,12563.66,40.58,203.57,34.57
Spain,2024,Bakery Items,21022.29,23137.14,97.09,374.62,64.55
Canada,2023,Grains & Cereals,13958.86,11903.19,157.1,564.27,69.31
France,2018,Grains & Cereals,23329.02,19639.5,138.91,1303.16,65.34
Spain,2020,Prepared Food,23830.2,25819.12,139.08,302.0,46.41
China,2019,Prepared Food,36775.28,42989.16,35.16,766.59,55.84
India,2024,Prepared Food,8691.04,9861.66,146.93,299.45,64.34
France,2020,Dairy Products,15377.13,14750.52,194.07,133.2,64.41
Japan,2021,Beverages,2124.68,1743.54,199.84,326.11,31.79
France,2023,Dairy Products,16869.71,14181.75,157.22,874.04,37.1
Spain,2024,Beverages,46527.0,54495.22,178.06,73.3,56.22
Germany,2019,Beverages,12946.24,12645.64,148.32,,50.49
China,2018,Beverages,4266.6,4843.21,110.29,1296.09,39.76
Saudi Arabia,2019,Dairy Products,26723.91,22010.24,87.54,766.34,51.54
Japan,2019,Grains & Cereals,32289.84,27529.79,92.0,92.1,41.77
Japan,2021,Bakery Items,41470.4,45018.64,105.89,873.0,63.0
Saudi Arabia,2021,Bakery Items,10641.86,11210.1,172.14,377.24,42.85
South Korea,2020,Beverages,12428.8,12685.51,99.23,1064.28,57.19
UK,2018,Meat & Seafood,27877.69,28368.73,65.36,559.08,59.09
Mexico,2024,Fruits & Vegetables,48049.54,43047.97,87.0,826.01,56.03
Japan,2021,Grains & Cereals,3818.33,4240.41,59.44,97.08,36.57
India,2023,Beverages,47204.66,48115.64,48.03,1180.66,32.15
Mexico,2023,Bakery Items,45674.14,,39.91,403.69,34.85
Argentina,2019,Meat & Seafood,23412.25,23514.13,178.36,712.72,33.65
Italy,2018,Grains & Cereals,12851.64,14590.46,98.09,469.07,66.66
Italy,2020,Dairy Products,26530.69,26224.12,154.54,1385.15,49.94
South Africa,2020,Bakery Items,5856.51,4821.21,88.94,54.84,46.63
Brazil,2020,Prepared Food,15808.38,16825.54,194.85,1098.0,33.16
Australia,2024,Bakery Items,49147.86,56321.02,183.59,1395.51,35.14
Brazil,2021,Fruits & Vegetables,984.24,1145.43,66.26,250.68,58.75
Japan,2019,Beverages,32753.94,36813.62,79.78,702.17,43.49
Japan,2024,Dairy Products,35892.2,36287.72,154.65,183.52,30.62
Argentina,2022,Dairy Products,11936.85,13402.52,137.37,74.28,63.35
Mexico,2019,Meat & Seafood,37194.78,43703.78,68.81,775.2,48.2
Italy,2024,Beverages,39257.04,43549.74,,720.43,64.18
UK,2022,Grains & Cereals,2157.21,2050.67,27.7,1299.73,45.37
Indonesia,2024,Bakery Items,2225.09,1836.76,104.14,1157.3,62.86
Spain,2022,Dairy Products,8499.64,8074.29,97.02,1353.16,40.54
Spain,2024,Meat & Seafood,32261.02,30056.23,,1061.95,42.26
UK,2020,Grains & Cereals,1081.28,1229.69,61.13,223.81,63.93
Japan,2020,Prepared Food,3471.38,3642.06,162.64,1201.95,52.96
China,2023,Bakery Items,42853.92,49497.73,130.67,1040.86,58.34
Australia,2019,Prepared Food,47213.66,41479.51,119.67,634.44,33.96
Russia,2022,Meat & Seafood,32917.54,38422.03,58.78,1232.8,66.02
Saudi Arabia,2023,Frozen Food,16959.33,16228.69,62.9,515.74,58.05
Canada,2019,Bakery Items,38681.78,39867.05,185.97,717.14,49.27
Spain,2021,Bakery Items,2991.83,2960.43,53.02,146.92,60.27
USA,2022,Bakery Items,31220.86,36959.44,184.7,1372.14,52.9
USA,2022,Frozen Food,11890.66,13680.35,178.86,381.88,52.96
